Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Linke,Gruene,SPD,FDP,CDU,AfD,Others,year_of_last_vote
DENW094,NO2,1999,18.575,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW094,NO2,2000,17.159,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW099,NO2,2001,47.066,ug/m3,Traffic,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW094,NO2,2001,17.841,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW099,NO2,2002,50.031,ug/m3,Traffic,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW094,NO2,2002,16.969,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW099,NO2,2003,53.246,ug/m3,Traffic,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW094,NO2,2003,21.936,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999
DENW099,NO2,2004,45.494,ug/m3,Traffic,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004
DENW094,NO2,2004,18.511,ug/m3,Background,urban,NW,Städteregion Aachen,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004
