Aachen,2000,0.26,Background
Aachen,2001,0.798,Traffic
Aachen,2001,0.283,Background
Aachen,2002,0.757,Traffic
Aachen,2002,0.28,Background
Aachen,2003,0.781,Traffic
Aachen,2004,0.611,Traffic
Aachen,2005,0.538,Traffic
Aalen,1999,0.403,Background
Aalen,2000,0.391,Background
Aalen,2001,0.367,Background
Aalen,2002,0.275,Background
Aalen,2003,0.32,Background
Aalen,2004,0.269,Background
Aalen,2005,0.272,Background
Aalen,2006,0.278,Background
Aalen,2007,0.291,Background
Aalen,2008,0.221,Background
Aalen,2009,0.2,Background
Aalen,2010,0.197,Background
Aalen,2011,0.211,Background
Aalen,2012,0.253,Background
Aalen,2013,0.198,Background
Aalen,2014,0.161,Background
Aalen,2015,0.185,Background
Aalen,2016,0.187,Background
Annaberg-Buchholz,1999,0.404,Background
Annaberg-Buchholz,2000,0.414,Background
Annaberg-Buchholz,2001,0.583,Background
Annaberg-Buchholz,2002,0.493,Background
Ansbach,1999,0.84,Traffic
Ansbach,2000,0.782,Traffic
Ansbach,2001,0.749,Traffic
Ansbach,2002,0.695,Traffic
Ansbach,2003,0.686,Traffic
Ansbach,2004,0.581,Traffic
Ansbach,2005,0.538,Traffic
Ansbach,2006,0.523,Traffic
Ansbach,2007,0.475,Traffic
Ansbach,2008,0.444,Traffic
Ansbach,2009,0.438,Traffic
Ansbach,2010,0.43,Traffic
Ansbach,2011,0.411,Traffic
Ansbach,2012,0.354,Traffic
Ansbach,2013,0.37,Traffic
Ansbach,2014,0.358,Traffic
Ansbach,2015,0.339,Traffic
Ansbach,2016,0.344,Traffic
Ansbach,2017,0.329,Traffic
Ansbach,2018,0.318,Traffic
Ansbach,2019,0.303,Traffic
Ansbach,2020,0.271,Traffic
Ansbach,2021,0.265,Traffic
Ansbach,2022,0.266,Traffic
Ansbach,2023,0.264,Traffic
Ansbach,2024,0.292,Traffic
Ansbach,2025,0.334,Traffic
Aschaffenburg,1988,9.685,Background
Aschaffenburg,1989,0.534,Background
Aschaffenburg,1999,0.538,Background
Aschaffenburg,2000,0.415,Background
Aschaffenburg,2001,0.393,Background
Aschaffenburg,2002,0.381,Background
Aschaffenburg,2003,0.422,Background
Aschaffenburg,2004,0.333,Background
Aschaffenburg,2005,0.252,Background
Aschaffenburg,2006,0.447,Background
Aschaffenburg,2007,0.432,Background
Aschaffenburg,2008,0.408,Background
Aschaffenburg,2009,0.408,Background
Aue,1999,0.384,Traffic
Aue,2000,0.382,Traffic
Aue,2001,0.296,Traffic
Aue,2002,0.269,Traffic
Auerbach/Vogtl.,1999,0.279,Traffic
Auerbach/Vogtl.,2000,0.268,Traffic
Augsburg,1988,37.603,Traffic
Augsburg,1989,4.082,Traffic
Augsburg,1999,1.298,Traffic
Augsburg,1999,0.521,Background
Augsburg,2000,1.06,Traffic
Augsburg,2000,0.46299999999999997,Background
Augsburg,2001,0.961,Traffic
Augsburg,2001,0.498,Background
Augsburg,2002,0.474,Traffic
Augsburg,2002,0.47150000000000003,Background
Augsburg,2003,0.853,Traffic
Augsburg,2003,0.52,Background
Augsburg,2004,0.735,Traffic
Augsburg,2004,0.336,Background
Augsburg,2005,0.5913333333333334,Traffic
Augsburg,2005,0.364,Background
Augsburg,2006,0.54,Traffic
Augsburg,2006,0.358,Background
Augsburg,2007,0.636,Traffic
Augsburg,2007,0.314,Background
Augsburg,2008,0.594,Traffic
Augsburg,2008,0.302,Background
Augsburg,2009,0.5720000000000001,Traffic
Augsburg,2009,0.305,Background
Augsburg,2010,0.5499999999999999,Traffic
Augsburg,2010,0.294,Background
Augsburg,2011,0.45566666666666666,Traffic
Augsburg,2011,0.282,Background
Augsburg,2012,0.39799999999999996,Traffic
Augsburg,2012,0.272,Background
Augsburg,2013,0.4315,Traffic
Augsburg,2013,0.308,Background
Augsburg,2014,0.3825,Traffic
Augsburg,2014,0.267,Background
Augsburg,2015,0.3885,Traffic
Augsburg,2015,0.271,Background
Augsburg,2016,0.3635,Traffic
Augsburg,2016,0.267,Background
Augsburg,2017,0.348,Traffic
Augsburg,2017,0.256,Background
Augsburg,2018,0.355,Traffic
Augsburg,2018,0.283,Background
Augsburg,2019,0.32499999999999996,Traffic
Augsburg,2019,0.237,Background
Augsburg,2020,0.29100000000000004,Traffic
Augsburg,2020,0.228,Background
Augsburg,2021,0.30300000000000005,Traffic
Augsburg,2021,0.24,Background
Augsburg,2022,0.2815,Traffic
Augsburg,2022,0.224,Background
Augsburg,2023,0.281,Traffic
Augsburg,2023,0.232,Background
Augsburg,2024,0.2895,Traffic
