Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State_x,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference,State_y,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others,_merge
,,,,,,,,,Aachen,,,,NW,1999.0,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,right_only
,,,,,,,,,Achern,,,,BW,1999.0,0.0,0.0,19.230769230769237,0.0,38.46153846153847,0.0,42.3076923076923,right_only
,,,,,,,,,Achern,,,,BW,2004.0,0.0,0.0,7.6923076923076925,0.0,30.76923076923077,0.0,61.53846153846154,right_only
,,,,,,,,,Achern,,,,BW,2009.0,0.0,0.0,3.8461538461538463,0.0,34.61538461538461,0.0,61.53846153846154,right_only
,,,,,,,,,Achern,,,,BW,2014.0,0.0,0.0,7.6923076923076925,3.8461538461538463,34.61538461538461,0.0,53.84615384615385,right_only
,,,,,,,,,Achern,,,,BW,2019.0,0.0,11.538461538461538,7.6923076923076925,3.8461538461538463,30.76923076923077,0.0,46.15384615384614,right_only
,,,,,,,,,Achern,,,,BW,2024.0,0.0,7.6923076923076925,7.6923076923076925,3.8461538461538463,30.76923076923077,3.8461538461538463,46.15384615384615,right_only
,,,,,,,,,Achim,,,,NI,2001.0,0.0,11.3,40.1,6.9,30.3,0.0,11.4,right_only
,,,,,,,,,Achim,,,,NI,2006.0,0.0,10.6,39.4,5.6,34.2,0.0,10.2,right_only
,,,,,,,,,Achim,,,,NI,2011.0,2.0,18.3,37.9,2.7,33.0,0.0,8.0,right_only
,,,,,,,,,Achim,,,,NI,2016.0,3.7,13.7,33.6,7.4,32.0,0.0,13.3,right_only
,,,,,,,,,Achim,,,,NI,2021.0,2.1,18.1,29.0,8.1,30.5,5.0,14.2,right_only
,,,,,,,,,Ahaus,,,,NW,1999.0,0.0,2.380952380952381,19.047619047619047,0.0,59.523809523809526,0.0,19.047619047619047,right_only
,,,,,,,,,Ahaus,,,,NW,2004.0,0.0,4.761904761904762,16.666666666666664,4.761904761904762,54.761904761904766,0.0,19.047619047619047,right_only
,,,,,,,,,Ahaus,,,,NW,2009.0,2.380952380952381,4.761904761904762,16.666666666666664,7.142857142857142,50.0,0.0,19.047619047619047,right_only
,,,,,,,,,Ahaus,,,,NW,2014.0,0.0,4.761904761904762,21.428571428571427,4.761904761904762,47.61904761904761,0.0,21.42857142857143,right_only
,,,,,,,,,Ahaus,,,,NW,2020.0,0.0,11.904761904761903,11.904761904761903,4.761904761904762,47.61904761904761,0.0,23.809523809523814,right_only
,,,,,,,,,Ahlen,,,,NW,1999.0,0.0,4.0,42.0,2.0,52.0,0.0,0.0,right_only
,,,,,,,,,Ahlen,,,,NW,2004.0,0.0,9.090909090909092,36.36363636363637,4.545454545454546,50.0,0.0,0.0,right_only
,,,,,,,,,Ahlen,,,,NW,2009.0,4.545454545454546,6.8181818181818175,31.818181818181817,6.8181818181818175,38.63636363636363,0.0,11.363636363636363,right_only
,,,,,,,,,Ahlen,,,,NW,2014.0,4.545454545454546,6.8181818181818175,34.090909090909086,4.545454545454546,36.36363636363637,0.0,13.636363636363626,right_only
,,,,,,,,,Ahlen,,,,NW,2020.0,2.272727272727273,9.090909090909092,29.545454545454547,4.545454545454546,40.909090909090914,0.0,13.636363636363624,right_only
,,,,,,,,,Aichach,,,,BY,1990.0,0.0,4.166666666666666,25.0,0.0,54.16666666666666,0.0,16.66666666666667,right_only
,,,,,,,,,Aichach,,,,BY,1996.0,0.0,4.166666666666666,25.0,0.0,45.83333333333333,0.0,25.0,right_only
,,,,,,,,,Aichach,,,,BY,2002.0,0.0,3.333333333333333,33.33333333333333,3.333333333333333,40.0,0.0,19.99999999999999,right_only
,,,,,,,,,Aichach,,,,BY,2008.0,0.0,3.333333333333333,30.0,3.333333333333333,40.0,0.0,23.33333333333334,right_only
,,,,,,,,,Aichach,,,,BY,2014.0,0.0,6.666666666666667,30.0,3.333333333333333,36.66666666666666,0.0,23.33333333333334,right_only
,,,,,,,,,Aichach,,,,BY,2020.0,0.0,13.333333333333334,20.0,3.333333333333333,36.66666666666666,0.0,26.66666666666666,right_only
,,,,,,,,,Albstadt,,,,BW,1999.0,0.0,5.0,20.0,5.0,42.5,0.0,27.500000000000004,right_only
,,,,,,,,,Albstadt,,,,BW,2004.0,0.0,6.25,18.75,6.25,40.625,0.0,28.125,right_only
,,,,,,,,,Albstadt,,,,BW,2009.0,0.0,6.25,18.75,12.5,34.375,0.0,28.125,right_only
,,,,,,,,,Albstadt,,,,BW,2014.0,0.0,9.375,18.75,9.375,34.375,0.0,28.125,right_only
,,,,,,,,,Albstadt,,,,BW,2019.0,0.0,15.625,12.5,9.375,28.125,0.0,34.375,right_only
,,,,,,,,,Albstadt,,,,BW,2024.0,0.0,9.375,12.5,6.25,34.375,0.0,37.5,right_only
,,,,,,,,,Alfter,,,,NW,1999.0,0.0,9.375,21.875,6.25,50.0,0.0,12.5,right_only
,,,,,,,,,Alfter,,,,NW,2004.0,0.0,15.789473684210526,21.052631578947366,7.894736842105263,42.10526315789473,0.0,13.157894736842112,right_only
,,,,,,,,,Alfter,,,,NW,2009.0,2.272727272727273,18.181818181818183,15.909090909090908,11.363636363636363,34.090909090909086,0.0,18.181818181818187,right_only
,,,,,,,,,Alfter,,,,NW,2014.0,0.0,20.0,17.5,7.5,40.0,0.0,15.0,right_only
,,,,,,,,,Alfter,,,,NW,2020.0,0.0,25.0,12.5,5.0,40.0,0.0,17.500000000000004,right_only
,,,,,,,,,Alsdorf,,,,NW,1999.0,0.0,4.545454545454546,43.18181818181818,0.0,43.18181818181818,0.0,9.090909090909085,right_only
,,,,,,,,,Alsdorf,,,,NW,2004.0,0.0,7.894736842105263,34.21052631578947,5.263157894736842,36.84210526315789,0.0,15.789473684210533,right_only
,,,,,,,,,Alsdorf,,,,NW,2009.0,5.263157894736842,7.894736842105263,42.10526315789473,5.263157894736842,28.947368421052637,0.0,10.526315789473696,right_only
,,,,,,,,,Alsdorf,,,,NW,2014.0,2.631578947368421,7.894736842105263,52.63157894736842,2.631578947368421,23.684210526315788,2.631578947368421,7.894736842105274,right_only
,,,,,,,,,Alsdorf,,,,NW,2020.0,0.0,10.526315789473683,50.0,2.631578947368421,26.31578947368421,10.526315789473683,1.1102230246251564e-14,right_only
,,,,,,,,,Altenburg,,,,TH,1994.0,19.444444444444446,8.333333333333332,27.77777777777778,0.0,44.44444444444444,0.0,0.0,right_only
,,,,,,,,,Altona,,,,HH,2001.0,0.0,15.3846154,35.897435900000005,0.0,30.769230800000003,0.0,17.9487179,right_only
,,,,,,,,,Altona,,,,HH,2004.0,0.0,18.421052600000003,31.5789474,0.0,50.0,0.0,0.0,right_only
,,,,,,,,,Altona,,,,HH,2008.0,9.8039216,17.6470588,43.1372549,5.8823529,23.5294118,0.0,0.0,right_only
,,,,,,,,,Altona,,,,HH,2011.0,9.8039216,17.6470588,43.1372549,5.8823529,23.5294118,0.0,0.0,right_only
,,,,,,,,,Altona,,,,HH,2014.0,13.7254902,23.5294118,31.372549,3.9215686,23.5294118,3.9215686,0.0,right_only
,,,,,,,,,Altona,,,,HH,2019.0,15.6862745,35.2941176,21.5686275,5.8823529,17.6470588,3.9215686,0.0,right_only
,,,,,,,,,Altona,,,,HH,2024.0,14.5833333,29.1666667,22.9166667,4.1666667,16.6666667,6.25,6.25,right_only
,,,,,,,,,Amberg,,,,BY,1990.0,0.0,5.0,37.5,0.0,47.5,0.0,10.0,right_only
,,,,,,,,,Amberg,,,,BY,1996.0,0.0,5.0,35.0,0.0,50.0,0.0,10.0,right_only
,,,,,,,,,Amberg,,,,BY,2002.0,0.0,2.5,35.0,0.0,52.5,0.0,9.99999999999999,right_only
,,,,,,,,,Amberg,,,,BY,2008.0,0.0,5.0,30.0,2.5,47.5,0.0,15.0,right_only
,,,,,,,,,Amberg,,,,BY,2014.0,0.0,7.5,27.500000000000004,2.5,47.5,0.0,14.999999999999991,right_only
,,,,,,,,,Amberg,,,,BY,2020.0,0.0,12.5,12.5,2.5,42.5,0.0,30.0,right_only
,,,,,,,,,Andernach,,,,RP,2009.0,2.7777777777777777,5.555555555555555,36.11111111111111,2.7777777777777777,38.88888888888889,0.0,13.888888888888886,right_only
,,,,,,,,,Andernach,,,,RP,2014.0,2.7777777777777777,8.333333333333332,33.33333333333333,2.7777777777777777,38.88888888888889,0.0,13.888888888888886,right_only
,,,,,,,,,Ansbach,,,,BY,1990.0,0.0,2.5,35.0,5.0,42.5,0.0,15.0,right_only
,,,,,,,,,Ansbach,,,,BY,1996.0,0.0,5.0,27.500000000000004,2.5,40.0,0.0,25.0,right_only
,,,,,,,,,Apolda,,,,TH,1994.0,20.0,0.0,23.33333333333333,13.333333333333334,43.333333333333336,0.0,0.0,right_only
,,,,,,,,,Apolda,,,,TH,1999.0,20.0,0.0,23.33333333333333,10.0,40.0,0.0,6.666666666666667,right_only
,,,,,,,,,Apolda,,,,TH,2004.0,23.33333333333333,0.0,13.333333333333334,10.0,46.66666666666666,0.0,6.666666666666667,right_only
