154004;Bedburg-Hau;26;12;7;4;3;;;;;;;;;;;;;;;;;;;;;;
154008;Emmerich am Rhein, Stadt;34;13;10;2;1;1;;;;;;;;;;;;;;;;6;1;;;;
154012;Geldern, Stadt;40;18;14;3;3;1;;;;;;;;;;;;1;;;;;;;;;
154016;Goch, Stadt;44;18;9;3;2;;;;;;;;;;;;;;;;;10;2;;;;
154020;Issum;30;14;12;;4;;;;;;;;;;;;;;;;;;;;;;
154024;Kalkar, Stadt;32;10;5;3;1;;;;;;;;;;;;;;;;;2;11;;;;
154028;Kerken;26;14;7;;1;;;;;;;;;;;;;;;;;4;;;;;
154032;Kevelaer, Stadt;38;17;8;5;2;;;;;;;;;;;;;;;;;6;;;;;
154036;Kleve, Stadt;44;17;13;6;3;;;;;;;;;;;;;;;;;5;;;;;
154040;Kranenburg;28;13;9;3;3;;;;;;;;;;;;;;;;;;;;;;
154044;Rees, Stadt;34;17;10;5;2;;;;;;;;;;;;;;;;;;;;;;
154048;Rheurdt;20;9;6;3;2;;;;;;;;;;;;;;;;;;;;;;
154052;Straelen, Stadt;32;17;6;;2;;;;;;;;;;;;;;;;;3;4;;;;
154056;Uedem;26;14;6;3;3;;;;;;;;;;;;;;;;;;;;;;
154060;Wachtendonk;24;10;3;3;1;;;;;;;;;;;;;;;;;5;2;;;;
154064;Weeze;28;16;7;3;2;;;;;;;;;;;;;;;;;;;;;;
158004;Erkrath, Stadt;42;15;11;6;2;1;;;;;;;;;;;;;;;;7;;;;;
158008;Haan, Stadt;38;13;11;;3;;;;;;;;;;;;2;;;;;4;1;4;;;
158012;Heiligenhaus, Stadt;36;17;10;2;3;;;;;;;;;;;;;;;;;4;;;;;
158016;Hilden, Stadt;44;14;16;4;3;;;;;;;;;;;;1;;;;;3;3;;;;
158020;Langenfeld (Rhld.), Stadt;44;23;8;5;2;;;;;;;;;;;;;;;;;6;;;;;
158024;Mettmann, Stadt;44;16;12;5;4;1;;;;;;;;;;;3;1;;;;2;;;;;
158026;Monheim am Rhein, Stadt;40;7;3;2;1;1;;;;;;;;;;26;;;;;;;;;;;0
158028;Ratingen, Stadt;58;20;12;5;3;;;;;;;;;;;;2;2;;;;14;;;;;
158032;Velbert, Stadt;62;21;17;7;3;3;;;;;;;;;;;;2;;;;4;3;1;1;;
158036;W lfrath, Stadt;34;13;9;3;1;2;;;;;;;;;;;;;;;;6;;;;;
162004;Dormagen, Stadt;44;16;16;3;2;1;;;;;;3;;;;;1;1;;;;1;;;;;0
162008;Grevenbroich, Stadt;50;18;14;3;4;1;;;;;;;;;;;;1;;;;4;1;2;2;;
162012;J chen;42;20;11;3;3;1;;;;;;;;;;;;;;;;3;1;;;;
162016;Kaarst, Stadt;50;22;9;7;4;1;;;;;;3;;;;;1;1;;;;2;;;;;
162020;Korschenbroich, Stadt;42;20;9;4;2;;;;;;;1;;;;;;;;;;5;1;;;;
162022;Meerbusch, Stadt;52;24;10;6;6;1;;;;;;1;;;;;;1;;;;3;;;;;
162024;Neuss, Stadt;68;27;19;7;6;3;;;;;;0;;;;;3;1;1;;;1;;;;;
162028;Rommerskirchen;32;12;15;2;1;;;;;;;;;;;;;;;;;2;;;;;
166004;Br ggen;38;18;6;5;3;;;;;;;;;;;;;;;;;4;2;;;;
166008;Grefrath;34;16;11;5;2;;;;;;;;;;;;;;;;;;;;;;
166012;Kempen, Stadt;44;20;11;6;3;2;;0;;;;;;;;;;;;;;2;;;;;
166016;Nettetal, Stadt;46;21;10;4;3;;;;;;;;;;;;2;;;;;2;4;;;;
166020;Niederkr chten;34;14;10;4;2;2;;;;;;;;;;;;;;;;2;;;;;
166024;Schwalmtal;34;19;7;6;2;;;;;;;;;;;;;;;;;;;;;;
166028;T nisvorst, Stadt;38;17;11;4;2;;;;;;;;;;;;;;;;;3;1;;;;
166032;Viersen, Stadt;56;24;15;6;3;3;;1;;;;;;;;;;;;;;4;;;;;
166036;Willich, Stadt;48;23;13;6;6;;;;;;;;;;;;;;;;;;;;;;
170004;Alpen;32;18;8;4;2;;;;;;;;;;;;;;;;;;;;;;
170008;Dinslaken, Stadt;46;13;20;4;1;3;;;;;;;;;;;;;;;;3;1;1;;;
170012;Hamminkeln, Stadt;38;17;10;4;3;;;;;;;;;;;;;;;;;4;;;;;
170016;H nxe;26;9;8;2;1;;;;;;;;;;;;;;;;;3;2;;;;1
170020;Kamp-Lintfort, Stadt;44;11;24;4;1;2;;;;;;;;;;;;;;;;1;1;;;;
170024;Moers, Stadt;54;19;20;5;3;3;;;;;;;;;;;;;;;;4;0;;;;
170028;Neukirchen-Vluyn, Stadt;38;14;15;4;1;;;;;;;;;;;;;1;;;;3;;;;;
170032;Rheinberg, Stadt;46;20;14;8;2;2;;;;;;;;;;;;;;;;;;;;;
170036;Schermbeck;26;13;6;3;1;;;;;;;;;;;;;;;;;3;;;;;
170040;Sonsbeck;26;15;4;2;3;;;;;;;;;;;;;;;;;2;;;;;
170044;Voerde (Niederrhein), Stadt;42;14;17;4;1;2;;;;;;;;;;;;;;;;3;;;;;1
170048;Wesel, Stadt;50;21;19;4;2;2;;;;;;;;;;;;1;;;;1;0;;;;
170052;Xanten, Stadt;36;16;8;3;1;1;;;;;;;;;;;;;;;;5;2;;;;
334004;Alsdorf, Stadt;38;9;20;3;1;1;1;;;;;;;;;;1;;;;;1;0;1;;;
334008;Baesweiler, Stadt;38;23;9;3;1;2;;;;;;;;;;;;;;;;;;;;;
334012;Eschweiler, Stadt;50;15;26;2;2;2;;;;;;;;;;;;1;;;;2;;;;;
334016;Herzogenrath, Stadt;44;16;17;4;2;3;;;;;;;;;;;;2;;;;;;;;;
334020;Monschau, Stadt;26;14;7;3;1;;;;;;;;;;;;;;;;;1;;;;;0
334024;Roetgen;30;9;8;5;2;;;;;;;;;;;;;;;;;6;;;;;
334028;Simmerath;32;17;10;2;1;;;;;;;;;;;;;;;;;2;;;;;
334032;Stolberg (Rhld.), Stadt;44;21;14;2;2;2;0;1;;;;;;;;;;1;;;;1;0;;;;
334036;W rselen, Stadt;38;13;15;3;3;1;;;;;;;;;;;;;;;;3;;;;;
358004;Aldenhoven;26;10;11;1;;1;;;;;;;;;;;;;;;;3;;;;;
358008;D ren, Stadt;50;20;16;5;2;3;;;;;;;;;;;3;;;;;1;0;;;;
358012;Heimbach, Stadt;22;10;5;1;3;;;;;;;;;;;;;;;;;3;;;;;
358016;H rtgenwald;28;14;7;3;2;1;;;;;;;;;;;;;;;;;;;;;1
358020;Inden;26;8;8;3;1;;;;;;;;;;;;;;;;;6;;;;;
