154000;Kreis Kleve;58;41;17;27;22;5;16;8;8;6;3;3;3;3;0;2;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;
158000;Kreis Mettmann;78;56;22;33;27;6;21;15;6;9;5;4;4;3;1;3;1;2;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;1;1;0;;;;;;;;;;;;;;;;;;;;;
162000;Rhein-Kreis Neuss;74;51;23;31;25;6;19;11;8;8;4;4;5;5;0;2;1;1;;;;;;;;;;;;;1;1;0;;;;;;;2;0;2;;;;;;;;;;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;
166000;Kreis Viersen;58;46;12;27;22;5;14;11;3;7;5;2;4;3;1;2;1;1;;;;0;0;0;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;
170000;Kreis Wesel;66;46;20;25;21;4;25;15;10;7;3;4;2;2;0;3;1;2;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0;0;0
334000;StÑdteregion Aachen;72;50;22;27;21;6;23;14;9;10;5;5;3;3;0;4;2;2;;;;;;;1;1;0;;;;;;;;;;;;;2;2;0;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
358000;Kreis DÅren;54;37;17;25;19;6;17;9;8;6;3;3;0;0;0;2;2;0;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;
362000;Rhein-Erft-Kreis;76;56;20;31;27;4;24;15;9;9;4;5;4;3;1;3;2;1;2;2;0;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;
366000;Kreis Euskirchen;56;45;11;24;19;5;14;13;1;5;1;4;5;5;0;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;
370000;Kreis Heinsberg;54;43;11;28;26;2;12;7;5;5;2;3;2;2;0;2;1;1;;;;1;1;0;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;
